class,eccentricity,aspect-ratio,elongation,solidity,stochastic-convexity,isoperimetric-factor,maximal-indentation-depth,lobedness,average-intensity,average-contrast,smoothness,third-moment,uniformity,entropy
1,0.27123,1.096,0.68075,0.49446,0.53684,0.13088,0.12815,2.9887,0.021943,0.072882,0.0052838,0.0013391,0.00022058,0.80402
4,0.99505,10.736,0.90851,0.92586,0.99649,0.18236,0.028571,0.14856,0.017761,0.06961,0.0048222,0.0013129,0.00013111,0.59218
4,0.9953,10.63,0.90598,0.88866,0.95789,0.15967,0.025636,0.11961,0.014782,0.065416,0.0042611,0.0012831,6.44E-05,0.52178
3,0.50924,1.2166,0.27943,0.93462,0.99123,0.4092,0.016089,0.047113,0.096518,0.17131,0.028511,0.006963,0.0015453,1.851
4,0.99515,10.007,0.90328,0.91594,0.97719,0.16244,0.033129,0.19975,0.017258,0.070646,0.004966,0.0014641,7.16E-05,0.59946
1,0.51247,1.1116,0.65626,0.57724,0.59298,0.16867,0.11187,2.2776,0.016001,0.061238,0.0037361,0.00087861,0.00010284,0.6508
1,0.4042,1.0965,0.65899,0.52833,0.68421,0.1771,0.13017,3.0837,0.029057,0.096836,0.0092902,0.0028927,0.0001265,0.82383
3,0.49634,1.1832,0.22855,0.94687,0.98947,0.58613,0.017327,0.054638,0.047106,0.12748,0.015992,0.0051731,0.00023865,1.1489
1,0.38501,1.0656,0.63042,0.51223,0.59123,0.13705,0.12292,2.7498,0.033373,0.098907,0.0096879,0.0027872,0.00021426,1.0015
2,0.55457,1.2955,0.25519,0.97441,0.99825,0.7824,0.012063,0.026483,0.020129,0.076722,0.0058518,0.0016389,0.00012751,0.60629
1,0.43425,1.095,0.68828,0.52398,0.54211,0.15396,0.13761,3.4462,0.021147,0.073202,0.0053299,0.00134,0.00016376,0.75496
3,,1.1928,0.30567,0.93428,0.98947,0.50688,0.020948,0.079866,0.057408,0.12508,0.015404,0.003903,0.00045984,1.6497
1,0.26758,1.1316,0.60128,0.54301,0.77368,0.20311,0.15354,4.2904,0.017945,0.07145,0.0050792,0.0014652,7.25E-05,0.63273
2,0.64168,1.4853,0.3362,0.95562,0.99825,0.72952,0.017439,0.05535,0.02413,0.074641,0.0055403,0.001194,0.00031921,0.82279
2,0.64604,1.4683,0.35457,0.9588,0.99123,0.70641,0.02021,0.074334,0.059026,0.12721,0.015925,0.0037362,0.0012496,1.3596
2,0.35236,1.146,0.20076,0.96876,0.99649,0.71333,0.017729,0.057204,0.033249,0.099068,0.0097191,0.002653,0.00035728,0.87046
4,0.99799,15.068,0.93667,0.8807,0.95789,0.12132,0.032164,0.18828,0.011686,0.054827,0.002997,0.00086356,4.38E-05,0.50576
3,0.52914,1.2066,0.25595,0.93945,0.97895,0.51693,0.019009,0.065765,0.14675,0.19841,0.037876,0.0073471,0.0023476,2.7085
